DATE,PPPTTLUSA618NUPN
1950-01-01,1
1951-01-01,1
1952-01-01,1
1953-01-01,1
1954-01-01,1
1955-01-01,1
1956-01-01,1
1957-01-01,1
1958-01-01,1
1959-01-01,1
1960-01-01,1
1961-01-01,1
1962-01-01,1
1963-01-01,1
1964-01-01,1
1965-01-01,1
1966-01-01,1
1967-01-01,1
1968-01-01,1
1969-01-01,1
1970-01-01,1
1971-01-01,1
1972-01-01,1
1973-01-01,1
1974-01-01,1
1975-01-01,1
1976-01-01,1
1977-01-01,1
1978-01-01,1
1979-01-01,1
1980-01-01,1
1981-01-01,1
1982-01-01,1
1983-01-01,1
1984-01-01,1
1985-01-01,1
1986-01-01,1
1987-01-01,1
1988-01-01,1
1989-01-01,1
1990-01-01,1
1991-01-01,1
1992-01-01,1
1993-01-01,1
1994-01-01,1
1995-01-01,1
1996-01-01,1
1997-01-01,1
1998-01-01,1
1999-01-01,1
2000-01-01,1
2001-01-01,1
2002-01-01,1
2003-01-01,1
2004-01-01,1
2005-01-01,1
2006-01-01,1
2007-01-01,1
2008-01-01,1
2009-01-01,1
2010-01-01,1
