date,open,high,low,close,adjusted close,volume,dividend amount
2021-01-29,133.52,145.09,126.382,131.96,129.509,2239366098.0,0.0
2021-02-26,133.75,137.877,118.39,121.26,119.1861,1825486961.0,0.205
2021-03-31,123.75,128.72,116.21,122.15,120.0609,2650845211.0,0.0
2021-04-30,123.66,137.07,122.49,131.46,129.2117,1889956694.0,0.0
2021-05-28,132.04,134.07,122.25,124.61,122.6858,1711935110.0,0.22
2021-06-30,125.08,137.41,123.13,136.96,134.8451,1606114354.0,0.0
2021-07-30,136.6,150.0,135.76,145.86,143.6077,1916751489.0,0.0
2021-08-31,146.36,153.49,144.5,151.83,149.7105,1462773381.0,0.22
2021-09-30,152.83,157.26,141.27,141.5,139.5247,1797948421.0,0.0
2021-10-29,141.9,153.165,138.27,149.8,147.7088,1565079040.0,0.0
2021-11-30,148.985,165.7,147.48,165.3,163.2295,1688864233.0,0.22
2021-12-31,167.48,182.13,157.8,177.57,175.3458,2443227128.0,0.0
2022-01-31,177.83,182.94,154.7,174.78,172.5908,2106513962.0,0.0
2022-02-28,174.01,176.65,152.0,165.12,163.2598,1628570227.0,0.22
2022-03-31,164.695,179.61,150.1,174.61,172.6429,2171827429.0,0.0
2022-04-29,174.03,178.49,155.38,157.65,155.874,1683547838.0,0.0
2022-05-31,156.71,166.48,132.61,148.84,147.3784,2400305601.0,0.23
2022-06-30,149.9,151.74,129.04,136.72,135.3775,1749297959.0,0.0
2022-07-29,136.04,163.63,135.66,162.51,160.9142,1447364668.0,0.0
2022-08-31,161.01,176.15,157.14,157.22,155.8927,1509735435.0,0.23
2022-09-30,156.64,164.26,138.0,138.2,137.0333,2083968147.0,0.0
2022-10-31,138.21,157.5,134.37,153.34,152.0455,1868381344.0,0.0
2022-11-30,155.08,155.45,134.38,148.03,147.0242,1724948219.0,0.23
2022-12-30,148.21,150.9199,125.87,129.93,129.0472,1675731304.0,0.0
2023-01-31,130.28,147.23,124.17,144.29,143.3097,1443652725.0,0.0
2023-02-28,143.97,157.38,141.32,147.41,146.6314,1307294493.0,0.23
2023-03-31,146.83,165.0,143.9,164.9,164.0291,1520461315.0,0.0
2023-04-28,164.27,169.85,159.78,169.68,168.7838,967580718.0,0.0
2023-05-31,169.28,179.35,164.31,177.25,176.5591,1275052503.0,0.24
2023-06-30,177.7,194.48,176.9306,193.97,193.2139,1297863403.0,0.0
2023-07-31,193.78,198.23,186.6,196.45,195.6842,996368613.0,0.0
2023-08-31,196.235,196.73,171.96,187.87,187.3903,1323817340.0,0.24
2023-09-29,189.485,189.98,167.62,171.21,170.7728,1337873796.0,0.0
2023-10-31,171.22,182.34,165.67,170.77,170.3339,1172845791.0,0.0
2023-11-30,171.0,192.93,170.12,189.95,189.7089,1099760711.0,0.24
2023-12-29,190.33,199.62,187.4511,192.53,192.2856,1062317718.0,0.0
2024-01-31,187.15,196.38,180.17,184.4,184.166,1187139861.0,0.0
2024-02-16,183.985,191.05,179.25,182.31,182.31,688281825.0,0.24
