gdp_ppp,year
0.0,1960
0.0,1961
0.0,1962
0.0,1963
0.0,1964
0.0,1965
0.0,1966
0.0,1967
0.0,1968
0.0,1969
0.0,1970
0.0,1971
0.0,1972
0.0,1973
0.0,1974
0.0,1975
0.0,1976
0.0,1977
0.0,1978
0.0,1979
0.0,1980
0.0,1981
0.0,1982
0.0,1983
0.0,1984
0.0,1985
0.0,1986
0.0,1987
0.0,1988
0.0,1989
5963144000000.0,1990
6158129000000.0,1991
6520327000000.0,1992
6858559000000.0,1993
7287236000000.0,1994
7639749000000.0,1995
8073122000000.0,1996
8577554457000.0,1997
9062818202000.01,1998
9631174489000.01,1999
10250947997000.0,2000
10581929774000.0,2001
10929112955000.0,2002
11456442041000.0,2003
12217193198000.0,2004
13039199193000.0,2005
13815586948000.0,2006
14474226905000.0,2007
14769857911000.0,2008
14478064934000.0,2009
15048964444000.0,2010
15599728123000.0,2011
16253972230000.0,2012
16843190993000.0,2013
17550680174000.0,2014
18206020741000.0,2015
18695110842000.0,2016
19477336548999.9,2017
20533057312000.1,2018
21380976119000.0,2019
21060473613000.0,2020
23315080560000.0,2021
25439700000000.1,2022
